"Product Name","Product Image","Price (BDT)","Original Price (BDT)","Discount Percentage"
"Midnight Love Deluxe Set","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/612664222_809168198798460_3280083903548299239_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeFdW-AS4EtoDeAjl16d1EuwdsVCXf4SwyJ2xUJd_hLDIocj3aVoBxtXaxFUtbUSV5QEQhQOv1pJNvYu8Rz_oRAz&_nc_ohc=svbTyiStzgYQ7kNvwE12TT8&_nc_oc=AdoqumHnQURW7n2gXgim68-U7JKeOmv2NuhFJClyQnUNnMZp8VHvUcORwBS-KZnEJTc&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af3-SJF-lMzOpzzzZqq6RdvmTxq9Idj-anen2nFoV1M6xw&oe=69EA9562","7500","",""
"Luxury rose bouquet with balloons and chocolates","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/622367568_1423510862660864_2560453745617838960_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeFNJ1obX-mho4TT-HXzFWxgXRmNNT7DKzZdGY01PsMrNjbRRKrbVFNpgf28sAS-aXYGcmcKHBA7ew3tFQpxTTMh&_nc_ohc=9xHEvqXyhiAQ7kNvwG5LM4S&_nc_oc=Adpf8E2hwhvzY1AeLMIvf2nIFbjLlLbCVdf5sXJ_As7MJZcndD1dbZQuChcHcx4gLr4&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af1ALnkER0Bwg58wu9F3APEYDx3xqeINluEHlCqIcGam5Q&oe=69EA85E0","11000","",""
"Blue Anniversary Elegance Set","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/649998910_1251136263663153_5904496670773263465_n.png?stp=c0.0.928.928a_dst-png&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeF572jBpEkDSoTECKEfKXn4vMBrEXIVw4y8wGsRchXDjJD7mB1FzaDSvOMHpXiuH1nRwmupplZvtMuNt6LK1mQZ&_nc_ohc=OeVOO0rF8WEQ7kNvwGrYQLB&_nc_oc=AdoggdFVLhY9b0tU5pDuG8DcnbOivjCkQ61nrPmTCTLq5pjiUFYnne--id4ciCneAm8&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af24WhI5Y7cFXI_z25SZ4bT47PjNxz2CET-3-wfNLQngfg&oe=69EA9543","5000","",""
"Sacred Blessings Gift Box","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/650405819_1216596210245104_7902917592282828303_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeG1RQRA_p60VTgDSwedoW8jfsnOULvYOdl-yc5Qu9g52YeGUY7qCL0RPja7hfFDdfz7lOQ2Jx7h7J5Z45pFX9GM&_nc_ohc=rSyTjn-fwsQQ7kNvwGCQSVg&_nc_oc=AdoFuLfr9eGP2PJqBQ8H5e2m-bF4_9MjbuxEBv_1EtoKvvnOI-UVTe_NiJpngwtIbGA&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af1zPTd02qcEV2WmLAfUvMKbEGSjOsD7_vk0vtwaPhcsKQ&oe=69EAAAB3","5000","",""
"Sweet Treats Chocolate Wrap","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/610934018_1121739263235657_7823284950187941984_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeGY95VM3GJbxPECqXvdG0gupeXaCpo_OPKl5doKmj848mmHhCjJOA_E2WZdybZGExGBj_wF664JNr_ecEE81moS&_nc_ohc=LIgElomGJRoQ7kNvwHxhD_c&_nc_oc=Adow2PR5PvvgSOGz2yG9Wsx_zoYewU5B82z4v83Hoy-ihGUgSd1Ck94gX3lImuRJ8Zo&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af0Rorw7gNhplQghsB91S1V-gER1NWLfPqK3myHwF8aGbw&oe=69EA89D1","2650","",""
"Sweet Romance Trio: Red Roses, Chocolates & Cake Combo","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/624394261_2690600897968047_3507057346661936258_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeE5gjNPnVoDCm9qTNsrLzfoHaZ_N9Z3X50dpn831ndfnQakmwr9NK3S4XpqbkmJk-BYJ04biv5KSWqQz1sB2MNs&_nc_ohc=czvZIHER9TUQ7kNvwGBd-zX&_nc_oc=AdqI5rHVb8Q2gbhzP_jfn_wpCdkhHhPTYro3CRZB5R6zsFJhcVDvCJO53wH812TAybM&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af2tp9yL_K9W6Lo7o9BbI6lc7RiuUtbkimO54AJEI8k73A&oe=69EA9279","5000","",""
"Ultimate Birthday Duo Pack","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/648858292_3294366514057554_4642619605889618240_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeEXTwhZQpAzK0kxleV6pIkDZ2-71iHkf4tnb7vWIeR_i3WsmYUXKQIuz2mnQFVH9maqqGBgDR8rJo6z_yvB2B3w&_nc_ohc=L4HQXl9bB3UQ7kNvwFRVpGy&_nc_oc=AdpL32KDW4GT0eDDdKERH7Z3ui9TEraxNrhSxLSTW_WVEWqYYngIH4NTiN36O9PzNc8&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af1pdWBEuFReOe983OVFC5yj2Ozi-ouR_NQwLlMy6hIx6A&oe=69EA9ED6","7000","",""
"cake with wooden box and flowers","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/649704348_1694146678662927_3192167488921240089_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeHXQsA3VcvBC3e_9z1YXzl6jySifKVXuTqPJKJ8pVe5OgYxmAalaRuqsDvjQiWfWy8izgduRb2U2D4aD9nt1gmn&_nc_ohc=5mbwXi_tflAQ7kNvwFjzWaj&_nc_oc=Adr8U7seJIU7pnisBUh_ohqrsocLC6OJx2Zf0OpLm8jO8h6QL-MhMDVX8CQT7LDgmSs&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af3_DBGD6aMWN3ix87v4EI0Oio7mCvU7LvoO97wzV_3ffA&oe=69EAA8B9","4500","",""
"Heart-Shaped Red Rose Bouquet, Chocolate Box, Cake & Balloon Anniversary Combo","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/621138759_680221441751450_2010784053631422148_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeFpRaD8WT5MbX30MvzE_vYvqp_3R_8T2IWqn_dH_xPYhSWwbkhAmy0nkzvbAGdIKrWpHY991X-Ni2JBA49u7ggH&_nc_ohc=HKPUpnRJc0IQ7kNvwEsu9ek&_nc_oc=Adq0VIqY51Cby7AHD33lOnUbMUk4iccVx-mfO6GQZ_j8OmzDGN4FwsivH_fjaUQfsXk&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af2X1Mwy1c2bxos5I4qB42WM_7LCkj5YGIdWplTno8vgsg&oe=69EA9AD3","16000","",""
"Grand Chocolate Harmony Bouquet","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/624001374_1436452818145577_2271068474143368967_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeGFkuTpRKsletjCiwTujgW8mLKsfws-wv2Ysqx_Cz7C_T2sdJ0VM1DWlTky4mcuXZ9enexpYYwqi0la1Us5LBM0&_nc_ohc=WUWlkPUFZq0Q7kNvwENRlrO&_nc_oc=AdrrE3gUBckQHhWc_23hwUMyoZvk_0mzFeKHb_UTxUz6jhy9d0MZe2kbXIjn9jfjIWo&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af2DKbOLmC-GUUwEMGi0iWZFDy930ncfihMG6TKN4dLMcA&oe=69EAB31B","2500","",""
